#{"t_start": 1650888470.1980486, "env_id": "SW-v0"}
r,l,t
1.0,12,31.255596
1.0,13,31.266725
1.0,9,31.274443
1.0,14,31.286417
1.0,12,31.297142
1.0,10,31.305459
1.0,8,31.312035
1.0,12,31.321962
1.0,10,31.330234
1.0,15,31.342887
1.0,18,31.35827
1.0,9,31.36602
1.0,8,31.372998
1.0,11,31.382575
1.0,9,31.390428
1.0,19,31.407209
1.0,14,31.419488
1.0,11,31.429198
1.0,9,31.437161
1.0,10,31.446007
1.0,11,31.45565
1.0,12,31.466247
1.0,11,31.475942
1.0,10,31.484974
1.0,14,31.497251
1.0,16,31.511534
1.0,8,31.518576
1.0,9,31.52661
1.0,10,31.535561
1.0,11,31.5452
1.0,11,31.555033
1.0,10,31.564333
1.0,14,31.576924
1.0,10,31.586174
1.0,20,31.602387
1.0,10,31.610859
1.0,12,31.620991
1.0,13,31.631975
1.0,12,31.642173
1.0,14,31.653966
1.0,11,31.663375
1.0,10,31.671859
1.0,24,31.692269
1.0,10,31.700822
1.0,11,31.710104
1.0,17,31.724741
1.0,16,31.738546
1.0,10,31.74988
1.0,11,31.760298
1.0,11,31.770331
1.0,11,31.780097
1.0,12,31.790474
1.0,16,31.804445
1.0,13,31.815582
1.0,10,31.824219
1.0,19,31.840825
1.0,18,31.856176
1.0,12,31.866491
1.0,15,31.879371
1.0,21,31.897655
1.0,13,31.909168
1.0,14,31.921196
1.0,11,31.930829
1.0,18,31.946533
1.0,12,31.956954
1.0,15,31.970178
1.0,11,31.979752
1.0,10,31.988443
1.0,9,31.996409
1.0,11,32.00584
1.0,12,32.016282
1.0,11,32.025976
1.0,18,32.041657
1.0,9,32.049457
1.0,10,32.058283
1.0,11,32.067922
1.0,19,32.084397
1.0,8,32.091374
1.0,21,32.110011
1.0,16,32.127359
1.0,12,32.137819
1.0,11,32.147492
1.0,8,33.198453
1.0,11,33.210088
1.0,10,33.219028
1.0,10,33.228308
1.0,12,33.238822
1.0,21,33.256552
1.0,16,33.270019
1.0,10,33.278498
1.0,17,33.29285
1.0,12,33.303018
1.0,11,33.312354
1.0,8,33.319208
1.0,8,33.326021
1.0,10,33.334425
1.0,15,33.346818
1.0,8,33.353511
1.0,9,33.361004
1.0,13,33.371491
1.0,8,33.378249
1.0,13,33.388902
1.0,15,33.401123
1.0,16,33.414209
1.0,8,33.420707
1.0,12,33.43051
1.0,15,33.442792
1.0,9,33.450211
1.0,10,33.458279
1.0,14,33.469614
1.0,22,33.487357
1.0,16,33.500041
1.0,11,33.509037
1.0,12,33.518785
1.0,12,33.528567
1.0,21,33.545493
1.0,16,33.56266
1.0,11,33.571752
1.0,26,33.594306
1.0,10,33.60271
1.0,8,33.60953
1.0,8,33.61635
1.0,14,33.628358
1.0,8,33.63518
1.0,20,33.652117
1.0,8,33.659158
1.0,11,33.668636
1.0,10,33.677281
1.0,11,33.686737
1.0,12,33.697033
1.0,8,33.704037
1.0,9,33.711986
1.0,10,33.720623
1.0,15,33.733547
1.0,14,33.745735
1.0,12,33.756166
1.0,13,33.76746
1.0,9,33.775506
1.0,26,33.798198
1.0,11,33.808115
1.0,9,33.815955
1.0,12,33.826592
1.0,22,33.846112
1.0,14,33.858374
1.0,12,33.8689
1.0,12,33.879459
1.0,9,33.88736
1.0,11,33.897141
1.0,12,33.907627
1.0,10,33.916314
1.0,14,33.928844
1.0,11,33.938535
1.0,10,33.947359
1.0,12,33.957862
1.0,12,33.968396
1.0,12,33.9789
1.0,11,33.988572
1.0,10,33.997281
1.0,11,34.007135
1.0,15,34.02016
1.0,10,34.028933
1.0,9,34.036921
1.0,12,34.047434
1.0,10,34.056403
1.0,22,34.075816
1.0,12,34.08643
1.0,10,34.095335
1.0,14,34.107835
1.0,10,34.116667
1.0,10,34.125452
1.0,14,34.137726
1.0,11,34.15382
1.0,8,34.160831
1.0,11,34.170502
1.0,12,34.181043
1.0,10,34.189891
1.0,10,34.198687
1.0,11,34.208316
1.0,13,34.219952
1.0,8,34.227045
1.0,12,34.237714
1.0,11,34.247211
1.0,8,34.254178
1.0,15,34.267568
1.0,12,34.27816
1.0,16,34.292182
1.0,8,34.299322
1.0,11,34.309161
1.0,13,34.320459
1.0,13,34.332081
1.0,16,34.346172
1.0,13,34.357661
1.0,9,34.365461
1.0,10,34.374229
1.0,8,34.381426
1.0,12,34.391782
1.0,10,34.400614
1.0,14,34.41284
1.0,11,34.422497
1.0,12,34.432962
1.0,16,34.446841
1.0,16,34.460834
1.0,15,34.473721
1.0,9,34.481663
1.0,10,34.490466
