#{"t_start": 1653903596.7099578, "env_id": "JTL-v0"}
r,l,t
9992.5,20,36.262915
9993.916667,14,36.277899
9994.166667,15,36.293532
9992.333333,19,36.313269
9994.5,12,36.325366
9994.5,12,36.338207
9994.5,12,36.351613
9993.166667,16,36.369039
9989.0,31,36.403707
9994.333333,13,36.417093
9994.083333,14,36.431734
9992.833333,16,36.448004
9993.583333,18,36.470319
9994.5,12,36.482355
9994.5,12,36.496588
9994.5,12,36.510706
9993.666667,15,36.528452
9994.333333,13,36.545028
9994.25,14,36.561932
9993.333333,17,36.580827
9992.75,14,36.596171
9994.166667,15,36.613661
9992.75,18,36.631515
9993.833333,16,36.650706
9994.5,12,36.664847
9993.083333,14,36.680784
9992.5,18,36.698873
9994.166667,15,36.714163
9990.916667,22,36.737245
9994.5,12,36.749932
9994.333333,13,36.764069
9994.333333,14,36.77911
9994.5,12,36.792352
9993.083333,17,36.809082
9993.75,14,36.824396
9994.25,14,36.839025
9994.5,12,36.852041
9993.666667,15,36.867955
9993.25,18,36.888734
9992.416667,29,36.919258
9994.25,14,36.935505
9994.166667,15,36.952771
9991.5,26,36.978238
9992.75,22,37.001113
9994.25,13,37.013907
9993.083333,17,37.030169
9993.5,18,37.047733
9994.333333,13,37.060776
9994.5,12,37.073141
9993.666667,16,37.08857
9994.333333,14,37.102978
9992.5,16,37.119704
9993.833333,16,37.137075
9994.5,12,37.150261
9994.0,16,37.166532
9994.333333,13,37.179819
9994.25,14,37.194722
9993.5,16,37.212141
9994.5,12,37.224543
9994.25,14,37.240815
9994.0,15,37.256687
9993.583333,21,37.279441
9993.916667,14,37.294901
9992.333333,22,37.316979
9993.166667,21,37.340492
9994.5,12,37.352849
9993.25,18,37.37302
9994.5,12,37.385668
9994.5,12,37.39876
9992.25,18,37.417801
9994.5,12,37.430488
9994.5,12,37.444085
9994.166667,15,37.45995
9992.916667,16,37.476824
9990.333333,25,37.502194
9993.416667,14,37.515742
9994.0,15,37.530937
9991.666667,24,37.554774
9993.833333,19,38.401983
9993.25,18,38.441719
9994.5,12,38.464245
9993.25,16,38.487632
9993.416667,21,38.517037
9994.5,12,38.532079
9991.166667,20,38.556787
9994.25,14,38.572923
9993.5,16,38.592643
9994.25,14,38.61043
9992.166667,19,38.633511
9993.416667,14,38.651096
9994.416667,13,38.667904
9994.5,12,38.682027
9994.5,12,38.696367
9994.5,12,38.711071
9994.25,14,38.728408
9994.5,12,38.747432
9994.5,12,38.765933
9992.75,14,38.785439
9994.416667,13,38.803473
9993.583333,14,38.820648
9993.916667,14,38.83681
9994.333333,14,38.855413
9994.083333,14,38.875198
9994.5,12,38.890755
9994.083333,16,38.914719
9994.166667,14,38.930717
9994.333333,14,38.946699
9994.083333,14,38.963348
9993.666667,16,38.98174
9994.333333,13,38.996375
9994.5,12,39.011416
9994.5,12,39.026128
9994.083333,15,39.043231
9994.25,14,39.060166
9994.5,12,39.073502
9994.5,12,39.087223
9990.416667,26,39.120568
9993.25,21,39.144999
9994.0,16,39.164867
9992.75,14,39.180428
9994.5,12,39.194483
9993.0,17,39.213767
9994.5,12,39.22743
9993.5,16,39.248418
9994.166667,15,39.269517
9994.5,12,39.284268
9993.916667,14,39.304154
9994.083333,14,39.321791
9994.25,14,39.340754
9994.25,15,39.358985
9993.916667,14,39.375987
9991.25,24,39.405054
9993.833333,15,39.42208
9991.083333,18,39.446305
9993.083333,18,39.467689
9993.083333,18,39.492528
9994.5,12,39.508102
9993.333333,19,39.529511
9993.5,15,39.548206
9994.416667,13,39.564142
9991.583333,22,39.594399
9994.5,12,39.60995
9993.5,19,39.639229
9994.166667,15,39.66053
9994.083333,15,39.679474
9994.5,12,39.694442
9994.083333,14,39.71314
9994.083333,14,39.730799
9993.166667,16,39.750278
9994.5,12,39.764305
9992.333333,19,39.786471
9994.25,14,39.802676
9994.5,12,39.818028
9993.916667,14,39.83583
9993.0,16,39.857584
9994.5,12,39.871996
9993.166667,20,39.905483
9994.5,12,39.920802
9994.5,12,39.933524
9993.166667,16,39.95217
9994.5,12,39.964494
9994.25,14,39.981158
9994.5,12,39.995294
9994.5,12,40.008534
9993.75,14,40.024782
9993.5,16,40.042259
9993.666667,15,40.058165
9994.5,12,40.070648
9994.5,12,40.084469
9994.5,12,40.098021
9994.083333,17,40.118439
9994.416667,13,40.133346
9994.5,12,40.146512
9993.916667,16,40.163358
9991.916667,21,40.198114
9991.916667,22,40.230483
9994.083333,16,40.251012
9994.5,12,40.264194
9993.916667,17,40.285405
9992.333333,16,40.301634
